Record Create Date,Full Complaint ID,Complaint Year Number,Month Number,Complaint Precinct Code,Patrol Borough Name,County,Law Code Category Description,Offense Description,PD Code Description,Bias Motive Description,Offense Category,Arrest Date,Arrest Id,NYS_Specified,NIBRS_Code,NIBRS_Group,Crime_Against,DCJS_Hate_Crimes,Violent
2021-05-01,202105012245817,2021,5,50,PATROL BORO BRONX,BRONX,FELONY,BURGLARY,"BURGLARY,UNCLASSIFIED,NIGHT",ANTI-JEWISH,Religion/Religious Practice,2021-05-01,B33683676,1,220,A,Property,1,0
2021-12-28,202105012668317,2021,12,50,PATROL BORO BRONX,BRONX,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,2022-09-28,B34705870,1,13C,A,Person,1,0
2022-10-11,202204912792117,2022,10,49,PATROL BORO BRONX,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,2022-10-11,B34707656,1,13A,A,Person,1,1
2019-01-15,201906112101017,2019,1,61,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MURDER & NON-NEGL. MANSLAUGHTE,"MURDER,UNCLASSIFIED",ANTI-ASIAN,Race/Color,2019-01-16,K31675023,1,09A,A,Person,1,1
2019-02-08,201907112148117,2019,2,71,PATROL BORO BKLYN SOUTH,KINGS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,2019-02-08,K31679592,1,13C,A,Person,1,0
2019-04-06,201909412188717,2019,4,94,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,2019-04-05,K31690190,1,13C,A,Person,1,0
2019-03-17,201907012248417,2019,3,70,PATROL BORO BKLYN SOUTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MUSLIM,Religion/Religious Practice,2019-04-07,K31690422,1,13B,A,Person,1,1
2019-07-28,201907912598517,2019,7,79,PATROL BORO BKLYN NORTH,KINGS,FELONY,ROBBERY,"ROBBERY,PERSONAL ELECTRONIC DEVICE",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,2019-07-28,K31710604,1,120,A,Property,1,0
2019-07-28,201907912598517,2019,7,79,PATROL BORO BKLYN NORTH,KINGS,FELONY,ROBBERY,"ROBBERY,PERSONAL ELECTRONIC DEVICE",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,2019-07-28,K31710607,1,120,A,Property,1,0
2020-05-12,202007012371917,2020,5,70,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,2020-05-12,K32688959,1,13C,A,Person,1,0
2020-08-21,202008812373017,2020,8,88,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,2020-08-21,K32697729,1,290,A,Property,1,0
2020-11-28,202006112636617,2020,11,61,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,2020-11-28,K32709542,1,13C,A,Person,1,0
2020-12-26,202007012887617,2020,12,70,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,2020-12-31,K32713379,1,13C,A,Person,1,0
2021-06-18,202107712373917,2021,6,77,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-ASIAN,Race/Color,2021-06-18,K33692743,1,13C,A,Person,1,0
2021-12-20,202107112804917,2021,12,71,PATROL BORO BKLYN SOUTH,KINGS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 3 & 2, OF M",ANTI-BLACK,Race/Color,2021-12-20,K33716163,1,290,A,Property,1,0
2019-03-10,201904812231317,2019,3,48,PATROL BORO BRONX,BRONX,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Color,2019-03-09,B31682806,1,13B,A,Person,1,1
2020-03-28,202004412397317,2020,3,44,PATROL BORO BRONX,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-ASIAN,Race/Color,2020-03-28,B32682490,1,13A,A,Person,1,1
2020-03-28,202004412397317,2020,3,44,PATROL BORO BRONX,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-ASIAN,Race/Color,2020-03-28,B32682492,1,13A,A,Person,1,1
2020-07-18,202004512477317,2020,7,45,PATROL BORO BRONX,BRONX,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-BLACK,Race/Color,2020-11-10,B32701468,1,13C,A,Person,1,0
2021-04-25,202105012236217,2021,4,50,PATROL BORO BRONX,BRONX,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL,    UNCL 2ND",ANTI-JEWISH,Religion/Religious Practice,2021-05-01,B33683686,1,290,A,Property,1,0
2022-02-15,202204612216717,2022,2,46,PATROL BORO BRONX,BRONX,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation,2022-02-15,B34677119,1,13B,A,Person,1,1
2019-01-06,201907012085117,2019,1,70,PATROL BORO BKLYN SOUTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Color,2019-01-06,K31673178,1,13B,A,Person,1,1
2019-06-10,201909412267917,2019,6,94,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,2019-06-11,K31702285,1,13B,A,Person,1,1
2019-06-22,201908112373817,2019,6,81,PATROL BORO BKLYN NORTH,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,2019-07-24,K31709845,1,13A,A,Person,1,1
2020-05-10,202009012315217,2020,5,90,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,2020-05-10,K32688732,1,13C,A,Person,1,0
2021-04-05,202106112230317,2021,4,61,PATROL BORO BKLYN SOUTH,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-ASIAN,Race/Color,2021-04-07,K33684481,1,13A,A,Person,1,1
2021-06-15,202106612295017,2021,6,66,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,2021-06-14,K33692226,1,13C,A,Person,1,0
2021-09-04,202108312610217,2021,9,83,PATROL BORO BKLYN NORTH,KINGS,FELONY,ROBBERY,"ROBBERY,PERSONAL ELECTRONIC DEVICE",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,2021-09-08,K33702895,1,120,A,Property,1,0
2021-10-08,202107112631717,2021,10,71,PATROL BORO BKLYN SOUTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-JEWISH,Religion/Religious Practice,2021-10-08,K33707021,1,13B,A,Person,1,1
2022-02-09,202209012155617,2022,2,90,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,2022-03-03,K34680461,1,13C,A,Person,1,0
2019-03-09,201904812229517,2019,3,48,PATROL BORO BRONX,BRONX,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Color,2019-03-09,B31682790,1,13B,A,Person,1,1
2019-05-11,201904212405517,2019,5,42,PATROL BORO BRONX,BRONX,FELONY,ROBBERY,"ROBBERY,POCKETBOOK/CARRIED BAG",ANTI-MUSLIM,Religion/Religious Practice,2019-05-10,B31692176,1,120,A,Property,1,0
2020-07-31,202004012846517,2020,7,40,PATROL BORO BRONX,BRONX,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-ASIAN,Race/Color,2020-08-06,B32692369,1,13C,A,Person,1,0
2020-10-08,202004812794517,2020,10,48,PATROL BORO BRONX,BRONX,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,2020-10-08,B32698112,1,13C,A,Person,1,0
2021-10-11,202105212980717,2021,10,52,PATROL BORO BRONX,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,2021-10-11,B33699963,1,13A,A,Person,1,1
2021-09-14,202104713032317,2021,9,47,PATROL BORO BRONX,BRONX,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,2022-01-18,B34673724,1,13C,A,Person,1,0
2024-06-02,202404412812917,2024,6,44,PATROL BORO BRONX,BRONX,FELONY,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,2024-06-12,B36698900,1,120,A,Property,1,0
2024-08-01,202405212884317,2024,8,52,PATROL BORO BRONX,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,2024-08-01,B36707588,1,13A,A,Person,1,1
2019-02-04,201906012139817,2019,2,60,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,2019-02-27,K31682839,1,13C,A,Person,1,0
2019-03-29,201907912268617,2019,3,79,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,2019-03-29,K31688657,1,13B,A,Person,1,1
2019-07-13,201907612245617,2019,7,76,PATROL BORO BKLYN SOUTH,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,2019-07-13,K31708016,1,13A,A,Person,1,1
2019-11-24,201906612592617,2019,11,66,PATROL BORO BKLYN SOUTH,KINGS,FELONY,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,UNCL",ANTI-JEWISH,Religion/Religious Practice,2019-11-23,K31730066,1,23A-23H,A,Property,1,0
2020-01-21,202007112111117,2020,1,71,PATROL BORO BKLYN SOUTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-JEWISH,Religion/Religious Practice,2020-01-21,K32675055,1,13C,A,Person,1,0
2020-12-28,202009012783317,2020,12,90,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE,Gender,2020-12-30,K32713237,1,13B,A,Person,1,1
2021-05-14,202106212336117,2021,5,62,PATROL BORO BKLYN SOUTH,KINGS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL,    UNCL 2ND",ANTI-CATHOLIC,Religion/Religious Practice,2021-05-21,K33689291,1,290,A,Property,1,0
2019-02-08,201904612204817,2019,2,46,PATROL BORO BRONX,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,2019-02-08,B31678218,1,13A,A,Person,1,1
2020-02-06,202004412215017,2020,2,44,PATROL BORO BRONX,BRONX,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,2020-02-06,B32676594,1,13B,A,Person,1,1
2020-04-12,202004912290917,2020,4,49,PATROL BORO BRONX,BRONX,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,2020-04-29,B32684534,1,13C,A,Person,1,0
2021-04-25,202105012235617,2021,4,50,PATROL BORO BRONX,BRONX,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 4, OF MOTOR",ANTI-JEWISH,Religion/Religious Practice,2021-05-01,B33683690,1,290,A,Property,1,0
2021-09-06,202104713000317,2021,9,47,PATROL BORO BRONX,BRONX,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,2021-09-06,B33695947,1,13C,A,Person,1,0
2022-11-07,202204512758117,2022,11,45,PATROL BORO BRONX,BRONX,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,2023-11-09,B35720264,1,13C,A,Person,1,0
2019-10-21,201907612335617,2019,10,76,PATROL BORO BKLYN SOUTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,2019-10-21,K31724759,1,13B,A,Person,1,1
2019-11-24,201906612592617,2019,11,66,PATROL BORO BKLYN SOUTH,KINGS,FELONY,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,UNCL",ANTI-JEWISH,Religion/Religious Practice,2019-11-23,K31730069,1,23A-23H,A,Property,1,0
